,director,first_actor,genres,rating,runtime,second_actor,title
133,James Lapine,Michael J. Fox,"[Comedy, Family]",5.5,91.0,Christina Vidal,Life with Mikey
134,Eytan Fox,Ohad Knoller,"[Comedy, Drama, Romance]",7.4,90.0,Yousef 'Joe' Sweid,The Bubble
135,Shûsuke Kaneko,Aya Ueto,[Action],6.3,108.0,Yûma Ishigaki,Azumi 2: Death or Love
136,Jamie Blanks,Jim Caviezel,"[Drama, Horror, Thriller]",5.2,88.0,Claudia Karvan,Long Weekend
137,Michael Mohan,Lizzy Caplan,"[Comedy, Romance]",5.7,97.0,Alison Brie,Save the Date
138,Tony Krantz,Tarah Paige,"[Comedy, Crime, Horror, Thriller]",6.1,100.0,Bostin Christopher,Otis
139,Charles Shyer,Hilary Swank,"[Drama, History]",6.1,118.0,Simon Baker,The Affair of the Necklace
140,Bill Guttentag,Eva Mendes,[Drama],5.8,96.0,David Krumholtz,Live!
141,Anne Goursaud,Alyssa Milano,"[Drama, Thriller]",4.3,106.0,Johnathon Schaech,Poison Ivy 2
142,Chookiat Sakveerakul,Krissada Sukosol,"[Comedy, Crime, Drama, Horror, Mystery, Thriller]",6.8,114.0,Achita Sikamana,13 Beloved
143,Nick Castle,Ellen DeGeneres,[Comedy],3.7,96.0,Bill Pullman,Mr. Wrong
144,Bob Giraldi,Danny Aiello,"[Crime, Drama, Romance]",7.3,99.0,Edoardo Ballerini,Dinner Rush
145,Ilksen Basarir,Mert Firat,[Drama],7.5,98.0,Saadet Aksoy,Love in Another Language
146,Eric Valli,Michel Debats,[Drama],7.5,108.0,Thilen Lhondup,Himalaya
147,Matt Dillon,Matt Dillon,"[Crime, Drama, Thriller]",6.0,116.0,James Caan,City of Ghosts
148,Luca Guadagnino,María Valverde,[Drama],4.8,100.0,Letizia Ciampa,Melissa P.
149,Chuck Parello,Steve Railsback,"[Biography, Crime, Drama, Horror, Thriller]",5.6,89.0,Carrie Snodgress,Ed Gein
150,Ralph Ziman,Sam Neill,"[Drama, War]",7.7,108.0,Gina McKee,The Zookeeper
151,Guel Arraes,Matheus Nachtergaele,"[Adventure, Comedy]",8.4,104.0,Selton Mello,A Dog&#x27;s Will
152,Dominik Moll,Laurent Lucas,"[Drama, Mystery, Thriller]",6.7,129.0,Charlotte Gainsbourg,Lemming
153,Tom DiCillo,John Turturro,"[Comedy, Drama]",7.3,112.0,Sam Rockwell,Box of Moon Light
154,Rob Hedden,Dave Annable,"[Comedy, Romance]",5.4,99.0,Katharine McPhee,You May Not Kiss the Bride
155,Shaad Ali,Vivek Oberoi,"[Drama, Romance]",7.0,138.0,Rani Mukerji,Saathiya
156,Chris Terrio,Elizabeth Banks,[Drama],7.0,93.0,Glenn Close,Heights
157,Greg Beeman,Daniel Stern,"[Adventure, Comedy, Crime, Family, Mystery]",5.4,90.0,Jon Polito,Bushwhacked
158,Jack Perez,Kevin Corrigan,"[Comedy, Drama, Horror, Mystery, Thriller]",6.4,97.0,Barry Bostwick,Some Guy Who Kills People
159,Li Zhang,Jackie Chan,"[Action, Adventure, Drama, History, War]",6.0,121.0,Jackie Chan,1911
160,Lucile Hadzihalilovic,Zoé Auclair,"[Drama, Mystery]",7.0,122.0,Lea Bridarolli,Innocence
161,Christopher Hampton,Emma Thompson,"[Biography, Drama]",6.8,121.0,Jonathan Pryce,Carrington
162,Takeshi Koike,Takuya Kimura,"[Animation, Action, Sci-Fi, Sport]",7.5,102.0,Yû Aoi,Redline
163,Rupert Harvey,Don Keith Opper,"[Comedy, Horror, Sci-Fi, Thriller]",3.9,100.0,Terrence Mann,Critters 4
164,Dennis Hopper,Tom Berenger,[Comedy],4.9,102.0,Erika Eleniak,Chasers
165,Michael Cuesta,Conor Donovan,[Drama],7.6,94.0,Jesse Camacho,12 and Holding
166,Jeff Betancourt,Danielle Savre,"[Drama, Horror, Thriller]",5.1,93.0,Matt Cohen,Boogeyman 2
167,Kike Maíllo,Daniel Brühl,"[Drama, Fantasy, Sci-Fi]",6.6,94.0,Marta Etura,Eva
168,Sergio Castellitto,Penélope Cruz,"[Drama, Romance]",7.1,125.0,Sergio Castellitto,Don&#x27;t Move
169,Bill Duke,Laurence Fishburne,"[Action, Crime, Thriller]",6.9,107.0,Jeff Goldblum,Deep Cover
170,Joe Dante,John Goodman,"[Comedy, Drama]",6.7,99.0,Cathy Moriarty,Matinee
171,Mike Binder,Damon Wayans,"[Comedy, Action, Crime]",4.7,92.0,David Alan Grier,Blankman
172,Jacob Aaron Estes,Tobey Maguire,"[Comedy, Drama]",6.2,91.0,Elizabeth Banks,The Details
173,Tim Hunter,Ray Liotta,"[Crime, Sci-Fi, Thriller]",6.3,101.0,Willem Dafoe,Control
174,Siu-Tung Ching,Jet Li,"[Action, Fantasy]",5.9,100.0,Shengyi Huang,The Emperor and the White Snake
