,director,first_actor,genres,rating,runtime,second_actor,title
227,Mira Nair,Kal Penn,[Drama],7.6,122.0,Irrfan Khan,The Namesake
228,John Polson,Jesse Bradford,"[Drama, Thriller]",4.9,85.0,Erika Christensen,Swimfan
229,Michael Dowse,Paul Kaye,"[Comedy, Drama, Music]",7.4,90.0,Beatriz Batarda,It&#x27;s All Gone Pete Tong
230,Scott Glosserman,Nathan Baesel,"[Comedy, Horror, Thriller]",6.8,92.0,Angela Goethals,Behind the Mask: The Rise of Leslie Vernon
231,Hirokazu Koreeda,Yûya Yagira,[Drama],8.1,141.0,Ayu Kitaura,Nobody Knows
232,David S. Ward,Kelsey Grammer,[Comedy],5.9,92.0,Lauren Holly,Down Periscope
233,Wes Craven,Eddie Murphy,"[Comedy, Horror, Romance]",4.4,100.0,Angela Bassett,Vampire in Brooklyn
234,Mani Ratnam,Shah Rukh Khan,"[Drama, Romance, Musical, Thriller]",7.9,163.0,Manisha Koirala,Dil Se..
235,Rintaro,Toshio Furukawa,"[Animation, Adventure, Drama, Sci-Fi, Thriller]",7.3,108.0,Scott Weinger,Metoroporisu
236,Andrew Fleming,Kirsten Dunst,[Comedy],6.2,94.0,Michelle Williams,Dick
237,John Carpenter,Chevy Chase,"[Comedy, Romance, Sci-Fi, Thriller]",5.9,99.0,Daryl Hannah,Memoirs of an Invisible Man
238,Brian Levant,John Ritter,"[Comedy, Family]",4.3,90.0,Michael Oliver,Problem Child 2
239,Fred Schepisi,Will Smith,"[Comedy, Drama, Mystery]",6.9,112.0,Stockard Channing,Six Degrees of Separation
240,E. Elias Merhige,Aaron Eckhart,"[Crime, Thriller]",5.9,99.0,Ben Kingsley,Suspect Zero
241,Tom Stoppard,Gary Oldman,"[Comedy, Drama]",7.7,117.0,Tim Roth,Rosencrantz &#x26; Guildenstern Are Dead
242,Kabir Khan,Salman Khan,"[Action, Romance, Thriller]",5.3,132.0,Katrina Kaif,Ek Tha Tiger
243,George Miller,Jonathan Brandis,"[Adventure, Drama, Family, Fantasy]",4.9,90.0,Kenny Morrison,The Neverending Story II: The Next Chapter
244,Luis Mandoki,Meg Ryan,"[Drama, Romance]",6.5,126.0,Andy Garcia,When a Man Loves a Woman
245,Joel Schumacher,Cate Blanchett,"[Biography, Crime, Drama, Thriller]",6.9,98.0,Colin Farrell,Veronica Guerin
246,Christopher Cain,Pat Morita,"[Action, Drama, Family, Romance, Sport]",4.2,107.0,Hilary Swank,The Next Karate Kid
247,Marcus Raboy,Ice Cube,"[Comedy, Drama]",5.8,85.0,Mike Epps,Friday After Next
248,Fedor Bondarchuk,Artur Smolyaninov,"[Action, Drama, History, War]",7.2,139.0,Aleksey Chadov,9th Company
249,Bille August,Jeremy Irons,"[Drama, Romance]",6.9,140.0,Meryl Streep,The House of the Spirits
250,Mike Mitchell,Ben Affleck,"[Comedy, Romance]",5.2,91.0,Christina Applegate,Surviving Christmas
251,Anurag Kashyap,Abhay Deol,"[Comedy, Drama, Romance]",8.1,144.0,Mahie Gill,Dev D
252,Neil Jordan,Colin Farrell,"[Drama, Romance]",6.8,111.0,Alicja Bachleda,Ondine
253,George Armitage,Owen Wilson,"[Comedy, Crime]",4.9,88.0,Morgan Freeman,The Big Bounce
254,Mark Herman,Pete Postlethwaite,"[Comedy, Drama, Romance]",7.1,107.0,Tara Fitzgerald,Brassed Off
255,Forest Whitaker,Katie Holmes,"[Comedy, Drama, Romance]",4.9,106.0,Marc Blucas,First Daughter
256,Hideaki Anno,Kazuya Tsurumaki,"[Animation, Action, Drama, Fantasy, Sci-Fi]",8.2,90.0,Megumi Ogata,Neon Genesis Evangelion: The End of Evangelion
257,Guy Moshe,Josh Hartnett,"[Action, Drama, Thriller]",6.2,124.0,Demi Moore,Bunraku
258,Nicholas McCarthy,Caity Lotz,"[Horror, Mystery, Thriller]",5.8,89.0,Casper Van Dien,The Pact
259,Andrew Fleming,Steve Coogan,"[Comedy, Music]",6.4,92.0,Elisabeth Shue,Hamlet 2
260,Diane English,Meg Ryan,"[Comedy, Drama]",4.9,114.0,Eva Mendes,The Women
261,Stephen Frears,Gemma Arterton,"[Comedy, Drama, Romance]",6.2,107.0,Luke Evans,Tamara Drewe
262,John Whitesell,Jamie Kennedy,"[Comedy, Crime]",5.0,86.0,Ryan O'Neal,Malibu&#x27;s Most Wanted
263,David Wain,Paul Rudd,[Comedy],5.1,96.0,Jessica Alba,The Ten
264,William Heins,Strathford Hamilton,[Comedy],2.0,91.0,Paris Hilton,Pledge This!
265,Robert Altman,Richard Gere,"[Comedy, Drama, Romance]",4.6,122.0,Helen Hunt,Dr. T and the Women
266,Spike Lee,Derek Luke,"[Action, Crime, Drama, Thriller, War]",6.0,160.0,Michael Ealy,Miracle at St. Anna
267,Mark Jones,Warwick Davis,"[Comedy, Fantasy, Horror]",4.6,92.0,Jennifer Aniston,Leprechaun
268,Ernest R. Dickerson,Billy Zane,"[Action, Horror, Thriller]",6.7,92.0,William Sadler,Tales from the Crypt: Demon Knight
269,Ken Loach,Paul Brannigan,"[Comedy, Crime, Drama]",7.0,101.0,John Henshaw,The Angels&#x27; Share
270,Jim Field Smith,Jennifer Garner,[Comedy],6.3,90.0,Yara Shahidi,Butter
271,Guillaume Canet,François Cluzet,"[Comedy, Drama]",7.2,154.0,Marion Cotillard,Little White Lies
272,Jay Lee,Jenna Jameson,"[Comedy, Horror]",4.2,94.0,Robert Englund,Zombie Strippers!
273,Daniel Stern,Thomas Ian Nicholas,"[Comedy, Family, Fantasy, Sport]",5.8,103.0,Gary Busey,Rookie of the Year
274,Ralph Bakshi,Gabriel Byrne,"[Animation, Comedy, Fantasy]",4.7,102.0,Kim Basinger,Cool World
275,John Hughes,James Belushi,"[Comedy, Drama, Family, Romance]",5.6,101.0,Kelly Lynch,Curly Sue
276,Joe Chappelle,Peter O'Toole,"[Horror, Sci-Fi, Thriller]",5.3,96.0,Rose McGowan,Phantoms
277,Russell Mulcahy,Denzel Washington,"[Action, Crime, Thriller]",6.1,102.0,John Lithgow,Ricochet
278,Vadim Perelman,Uma Thurman,"[Drama, Mystery, Thriller]",6.4,90.0,Evan Rachel Wood,The Life Before Her Eyes
279,Geoff Murphy,Emilio Estevez,"[Action, Sci-Fi, Thriller]",5.3,110.0,Mick Jagger,Freejack
280,Nick Gomez,Danny DeVito,"[Crime, Mystery, Comedy]",5.6,96.0,Bette Midler,Drowning Mona
281,Wallace Wolodarsky,Barry Watson,[Comedy],5.4,93.0,Harland Williams,Sorority Boys
282,Wai-keung Lau,Alan Mak,"[Action, Crime, Drama, Thriller]",7.4,119.0,Edison Chen,Infernal Affairs 2
283,Sam Weisman,Martin Lawrence,"[Comedy, Crime]",5.4,94.0,Danny DeVito,What&#x27;s the Worst That Could Happen?
284,Marshall Herskovitz,Catherine McCormack,"[Biography, Drama, Romance]",7.3,111.0,Rufus Sewell,Dangerous Beauty
285,Fernando Meirelles,Rachel Weisz,"[Drama, Romance]",6.2,110.0,Jude Law,360
286,Bille Woodruff,Queen Latifah,[Comedy],5.4,105.0,Alicia Silverstone,Beauty Shop
287,Petter Næss,Per Christian Ellefsen,"[Comedy, Drama]",7.6,89.0,Sven Nordin,Elling
288,Renny Harlin,Rupert Friend,"[Action, Drama, War]",5.6,113.0,Emmanuelle Chriqui,5 Days of War
289,Stuart Gordon,Ezra Godden,"[Fantasy, Horror, Mystery, Thriller]",6.3,95.0,Francisco Rabal,Dagon
290,Angela Robinson,Sara Foster,"[Action, Comedy, Romance]",5.2,91.0,Jordana Brewster,D.E.B.S.
291,Stephen Sommers,Jason Scott Lee,"[Adventure, Family, Romance]",6.0,111.0,Cary Elwes,The Jungle Book
292,György Pálfi,Csaba Czene,"[Comedy, Drama, Horror]",7.0,91.0,Gergely Trócsányi,Taxidermia
293,Anders Thomas Jensen,Nikolaj Lie Kaas,"[Comedy, Drama]",7.3,100.0,Mads Mikkelsen,The Green Butchers
294,Barbra Streisand,Barbra Streisand,[Drama],6.7,132.0,Nick Nolte,The Prince of Tides
295,Cyrus Nowrasteh,Shohreh Aghdashloo,[Drama],8.0,114.0,Jim Caviezel,The Stoning of Soraya M.
296,Bent Hamer,Matt Dillon,"[Comedy, Drama, Romance]",6.6,94.0,Lili Taylor,Factotum
297,John Glenn,Paul Walker,"[Drama, Mystery, Thriller]",6.2,100.0,Piper Perabo,The Lazarus Project
298,Brian Robbins,David Arquette,"[Comedy, Sport]",5.3,107.0,Oliver Platt,Ready to Rumble
299,Fred Savage,Cuba Gooding Jr.,"[Comedy, Family]",2.8,89.0,Lochlyn Munro,Daddy Day Camp
300,Karen Moncrieff,Toni Collette,"[Crime, Drama, Mystery]",6.8,85.0,Brittany Murphy,The Dead Girl
301,Peter Kassovitz,Robin Williams,"[Comedy, Drama, War]",6.4,120.0,Hannah Taylor Gordon,Jakob the Liar
302,Stanley Tong,Leslie Nielsen,"[Family, Comedy, Adventure, Romance]",3.8,87.0,Kelly Lynch,Mr. Magoo
303,Ole Bornedal,Nikolaj Coster-Waldau,"[Horror, Thriller]",7.4,107.0,Sofie Gråbøl,Nightwatch
304,Neil LaBute,Gwyneth Paltrow,"[Romance, Drama, Mystery]",6.4,102.0,Aaron Eckhart,Possession
305,Agnieszka Holland,Solomon Perel,"[Drama, History, War]",7.7,112.0,Marco Hofschneider,Europa Europa
306,James Isaac,Jason Behr,"[Action, Fantasy, Horror, Thriller]",4.6,110.0,Elias Koteas,Skinwalkers
307,Kris Isacsson,Freddie Prinze Jr.,"[Romance, Comedy, Drama]",4.8,91.0,Julia Stiles,Down to You
308,Daniel Espinosa,Joel Kinnaman,"[Action, Crime, Drama, Thriller]",6.7,124.0,Matias Varela,Easy Money
309,Jen Soska,Sylvia Soska,"[Crime, Drama, Horror]",6.3,103.0,Katharine Isabelle,American Mary
310,Bille August,Julia Ormond,"[Action, Drama, Sci-Fi, Thriller]",6.4,121.0,Ona Fletcher,Smilla&#x27;s Feeling for Snow
311,Robert Duvall,Robert Duvall,[Drama],7.2,134.0,Todd Allen,The Apostle
312,Edward Yang,Nien-Jen Wu,"[Drama, Music, Romance]",8.0,173.0,Elaine Jin,A One and a Two (Yi Yi)
313,Clive Barker,Craig Sheffer,"[Action, Fantasy, Horror]",6.6,102.0,David Cronenberg,Nightbreed
314,Xavier Beauvois,Lambert Wilson,"[Drama, History]",7.2,122.0,Michael Lonsdale,Of Gods and Men
315,Robin Budd,Donovan Cook,"[Animation, Adventure, Family, Fantasy]",5.8,72.0,Blayne Weaver,Return to Never Land
316,Will Finn,John Sanford,"[Animation, Comedy, Family, Music, Western]",5.4,76.0,Judi Dench,Home on the Range
317,Mamoru Oshii,Malgorzata Foremniak,"[Action, Drama, Fantasy, Sci-Fi, Thriller]",6.6,107.0,Wladyslaw Kowalski,Avalon
318,Paul Schrader,Greg Kinnear,"[Biography, Crime, Drama]",6.6,105.0,Willem Dafoe,Auto Focus
319,Darren Lynn Bousman,Rebecca De Mornay,"[Crime, Drama, Horror, Thriller]",6.3,112.0,Jaime King,Mother&#x27;s Day
320,Rick Jacobson,Julia Voth,"[Action, Comedy, Crime, Drama, Thriller]",4.5,109.0,Erin Cummings,Bitch Slap
321,Bruce Robinson,Andy Garcia,"[Crime, Drama, Mystery, Thriller]",6.2,124.0,Uma Thurman,Jennifer Eight
322,Joe Nussbaum,Alexa PenaVega,[Comedy],5.2,89.0,Mika Boorem,Sleepover
323,Bernardo Bertolucci,Keanu Reeves,[Drama],6.0,123.0,Bridget Fonda,Little Buddha
324,John Waters,Edward Furlong,"[Comedy, Drama]",6.4,87.0,Christina Ricci,Pecker
325,Stephen Frears,Julia Roberts,"[Drama, Horror, Romance, Thriller]",5.8,108.0,John Malkovich,Mary Reilly
326,Lone Scherfig,Anders W. Berthelsen,"[Comedy, Drama, Romance]",7.1,112.0,Ann Eleonora Jørgensen,Italian for Beginners
327,Curtis Hanson,Rob Lowe,"[Crime, Drama, Thriller]",6.2,99.0,James Spader,Bad Influence
328,Todd Solondz,Shirley Henderson,"[Comedy, Drama]",6.5,98.0,Allison Janney,Life During Wartime
329,Rob Zombie,Joe Alaskey,"[Animation, Action, Adventure, Comedy, Fantasy]",6.0,77.0,Ken Foree,The Haunted World of El Superbeasto
330,Robby Henson,Reynaldo Rosales,"[Drama, Horror, Thriller]",4.7,88.0,Heidi Dippold,House
331,William Dear,Jonathan Taylor Thomas,"[Action, Adventure, Comedy]",6.2,106.0,Devon Sawa,Wild America
332,Deepa Mehta,Aamir Khan,"[Drama, Romance, War]",7.8,110.0,Nandita Das,Earth
333,Vijay Lalwani,Farhan Akhtar,"[Drama, Romance, Thriller]",7.0,135.0,Deepika Padukone,Karthik Calling Karthik
334,Jonas Pate,Josh Pate,"[Crime, Drama, Mystery, Thriller]",6.7,106.0,Tim Roth,Liar
335,Étienne Chatiliez,Sabine Azéma,[Comedy],6.4,108.0,André Dussollier,Tanguy
336,Jake Kasdan,David Duchovny,"[Comedy, Drama]",6.7,88.0,Sigourney Weaver,The TV Set
337,Patricia Riggen,Eugenio Derbez,[Drama],7.5,106.0,Kate del Castillo,Under the Same Moon
338,Aki Kaurismäki,Kati Outinen,"[Drama, Comedy]",7.6,68.0,Elina Salo,The Match Factory Girl
339,Randall Miller,Alan Rickman,"[Comedy, Crime, Drama, Thriller]",6.4,110.0,Bryan Greenberg,Nobel Son
340,Volker Schlöndorff,Natasha Richardson,"[Drama, Romance, Sci-Fi, Thriller]",6.0,109.0,Faye Dunaway,The Handmaid&#x27;s Tale
341,Kjell Sundvall,Rolf Lassgård,"[Crime, Drama, Thriller]",7.1,113.0,Lennart Jähkel,The Hunters
342,Mark Herman,Colin Firth,"[Comedy, Romance]",5.4,92.0,Minnie Driver,Hope Springs
343,Stuart Gordon,Tim Loane,"[Adventure, Comedy, Sci-Fi, Thriller]",5.1,95.0,Ian Beattie,Space Truckers
344,Robert Lieberman,Erika Christensen,"[Horror, Thriller]",5.5,79.0,Jesse Metcalfe,The Tortured
345,Rob Green,Jason Flemyng,"[Drama, Horror, Mystery, Thriller, War]",5.5,95.0,Andrew Tiernan,The Bunker
346,Conor McMahon,Ross Noble,"[Comedy, Horror]",5.7,86.0,Tommy Knight,Stitches
347,Don Coscarelli,Reggie Bannister,"[Action, Horror, Sci-Fi]",6.0,91.0,A. Michael Baldwin,Phantasm III: Lord of the Dead
348,Margarethe von Trotta,Barbara Sukowa,"[Biography, Drama]",7.1,113.0,Axel Milberg,Hannah Arendt
349,Dylan Kidd,Laura Linney,"[Comedy, Drama, Fantasy, Romance]",6.3,97.0,Topher Grace,P.S.
350,Antonio Negret,Orlando Jones,"[Horror, Thriller]",5.7,89.0,Edmund Entin,Seconds Apart
351,Richard Claus,Aaron Taylor-Johnson,"[Adventure, Family, Fantasy]",6.0,98.0,Jasper Harris,The Thief Lord
352,Patricia Riggen,Eva Mendes,"[Comedy, Drama]",5.6,93.0,Cierra Ramirez,Girl in Progress
353,Abhishek Chaubey,Naseeruddin Shah,"[Comedy, Drama, Romance, Thriller]",7.4,118.0,Vidya Balan,Ishqiya
354,Sebastian Gutierrez,Carla Gugino,"[Comedy, Drama]",5.8,92.0,Adrianne Palicki,Women in Trouble
355,Norman Jewison,Whoopi Goldberg,"[Comedy, Family, Fantasy]",5.2,110.0,Gérard Depardieu,Bogus
356,Michael Polish,Duel Farnes,"[Drama, Fantasy]",6.4,103.0,Nick Nolte,Northfork
357,James Toback,Ben Stiller,"[Crime, Drama, Music]",5.0,98.0,Allan Houston,Black and White
358,Bertrand Blier,Monica Bellucci,"[Comedy, Drama, Romance]",5.7,95.0,Bernard Campan,How Much Do You Love Me?
359,Zak Penn,Woody Harrelson,[Comedy],6.0,104.0,David Cross,The Grand
360,Laurent Tirard,Romain Duris,"[Comedy, History]",7.3,120.0,Fabrice Luchini,Moli&#xE8;re
361,William Butler,Joshua Leonard,"[Horror, Thriller]",5.7,91.0,Jordan Ladd,Madhouse
362,Chris Moore,Don McManus,"[Horror, Thriller]",5.6,85.0,Ryanne Duzich,Kill Theory
363,Abel Ferry,Fanny Valette,"[Adventure, Horror]",5.7,90.0,Johan Libéreau,High Lane
364,Michael Cristofer,Joe Basile,[Drama],5.0,106.0,Scott Burkholder,Body Shots
365,David M. Evans,Erik von Detten,[Comedy],4.9,90.0,Tony Denman,After School Special
366,Jake West,Emily Booth,"[Comedy, Horror, Sci-Fi]",5.5,93.0,Jamie Honeybourne,Evil Aliens
367,Gerry Lively,Bruce Payne,"[Action, Adventure, Fantasy]",4.9,105.0,Mark Dymond,Dungeons &#x26; Dragons: Wrath of the Dragon God
368,Chang-dong Lee,Kyung-gu Sol,"[Drama, Romance]",8.0,133.0,So-ri Moon,Oasis
369,Peter MacDonald,Damon Wayans,"[Comedy, Crime, Romance, Thriller]",5.3,89.0,Stacey Dash,Mo&#x27; Money
370,Ewen Bremner,Brian Fisk,"[Comedy, Drama]",6.6,94.0,Chloë Sevigny,Julien Donkey-Boy
371,Rakeysh Omprakash Mehra,Waheeda Rehman,"[Comedy, Drama]",6.1,141.0,Abhishek Bachchan,Delhi-6
372,Cody Cameron,Matthew J. Munn,"[Animation, Adventure, Comedy, Family]",5.1,75.0,Nika Futterman,Open Season 3
373,Kevin Rodney Sullivan,Angela Bassett,"[Drama, Romance]",5.4,124.0,Taye Diggs,How Stella Got Her Groove Back
374,Tim Fywell,Romola Garai,"[Drama, Romance]",7.1,113.0,Rose Byrne,I Capture the Castle
375,Jamie Blanks,Nadia Farès,[Horror],5.9,86.0,Robert Taylor,Storm Warning
376,Tim Hamilton,Diane Keaton,"[Comedy, Drama]",5.3,93.0,Jon Heder,Mama&#x27;s Boy
377,Alki David,Alki David,"[Action, Adventure]",7.9,95.0,Adam Baldwin,The Freediver
378,Tristán Bauer,Gastón Pauls,"[Adventure, Drama, War]",6.8,100.0,Pablo Riva,Iluminados por el fuego
379,Eric Schaeffer,Eric Schaeffer,"[Drama, Romance]",6.0,93.0,Amanda De Cadenet,Fall
380,Zhangke Jia,Hongwei Wang,"[Drama, History]",7.4,154.0,Tao Zhao,Platform
381,Jesse V. Johnson,Peter Allas,"[Action, Sci-Fi]",3.6,93.0,Matthew R. Anderson,The Last Sentinel
382,Steven C. Miller,Jonny Weston,[Horror],4.5,87.0,Gattlin Griffith,Under the Bed
383,Xiaogang Feng,Donald Sutherland,"[Comedy, Drama]",6.7,100.0,Rosamund Kwan,Da wan
384,Priyadarshan,Anil Kapoor,"[Drama, Family, Musical, Romance]",7.5,165.0,Tabu,Virasat
385,Robert A. Masciantonio,America Olivo,"[Horror, Thriller]",3.9,90.0,Christian Campbell,Neighbor
386,Kôji Shiraishi,Eriko Satô,[Horror],5.7,90.0,Haruhiko Katô,A Slit-Mouthed Woman
387,Brian Yuzna,Michael McKell,"[Horror, Mystery, Thriller]",3.8,92.0,Raquel Meroño,Beneath Still Waters
388,J.C. Calciano,Nicholas Downs,"[Comedy, Romance]",6.1,93.0,David Loren,Is It Just Me?
389,Aleksey Fedorchenko,Yuliya Aug,[Drama],6.7,78.0,Olga Dobrina,Silent Souls
390,Dominic Harari,Teresa Pelegri,"[Comedy, Romance]",6.9,93.0,Guillermo Toledo,Only Human
391,Aku Louhimies,Minna Haapkylä,"[Drama, Romance]",5.7,117.0,Anna-Leena Härkönen,Lovers &#x26; Leavers
392,Dean Murphy,Michael Caton,[Comedy],6.5,100.0,Alan Cassell,I Now Pronounce You Vince and Ralph
393,Stanley Tong,Aaron Kwok,[Action],5.3,92.0,Norika Fujiwara,China Strike Force
394,Michael Rowe,Monica del Carmen,[Drama],6.0,94.0,Gustavo Sánchez Parra,Leap Year
395,Ash Baron-Cohen,Mischa Barton,"[Action, Crime, Drama, Thriller]",6.1,99.0,Cameron Van Hoy,Pups
396,Clare Peploe,Bridget Fonda,"[Comedy, Drama, Romance, Fantasy]",5.5,104.0,Russell Crowe,Rough Magic
397,Piyush Dinker Pandya,Deep Katdare,"[Comedy, Drama, Romance]",6.7,100.0,Ronobir Lahiri,American Desi
398,Rick Stevenson,Mark Harmon,"[Adventure, Family, Fantasy]",5.8,98.0,Harley Jane Kozak,Magic in the Water
399,Chandra Prakash Dwivedi,Urmila Matondkar,[Drama],7.9,188.0,Manoj Bajpayee,Pinjar
400,Michael Biehn,Michael Biehn,[Thriller],4.6,83.0,Jennifer Blanc,The Victim
401,Roman Prygunov,Danila Kozlovsky,"[Comedy, Drama]",6.5,100.0,Mariya Andreeva,Dukhless
402,André Téchiné,Catherine Deneuve,[Drama],7.3,127.0,Daniel Auteuil,My Favorite Season
403,Robert Patton-Spruill,David Caruso,"[Crime, Drama, Thriller]",5.5,85.0,Linda Fiorentino,Body Count
404,Richard Spence,Steven Mackintosh,"[Comedy, Romance]",7.1,97.0,Rupert Graves,Different for Girls
405,Kari Skogland,Ellen Burstyn,[Drama],6.3,115.0,Christine Horne,The Stone Angel
406,J.B. Rogers,Michael Vartan,[Comedy],5.3,94.0,David Cross,Demoted
407,Eron Sheean,Michael Eklund,"[Drama, Sci-Fi, Thriller]",5.3,101.0,Karoline Herfurth,Errors of the Human Body
408,Ruud van Hemert,Antonie Kamerling,"[Drama, Romance]",6.0,99.0,Angela Schijf,Ik ook van jou
409,Takeshi Kitano,Takeshi Kitano,"[Comedy, Drama]",6.5,108.0,Tôru Emori,Glory to the Filmmaker!
410,Andrucha Waddington,Regina Casé,"[Drama, Comedy, Romance]",7.1,104.0,Lima Duarte,"Me, You, Them"
411,Leigh Scott,Bruce Boxleitner,"[Action, Adventure, Fantasy, Sci-Fi]",2.3,80.0,Jeff Denton,King of the Lost World
412,Jacob Thuesen,Troels Lyby,[Drama],7.1,103.0,Sofie Gråbøl,Accused
413,Attila Gigor,Zsolt Anger,"[Comedy, Crime, Drama, Thriller]",7.7,107.0,András Márton Baló,The Investigator
414,Stephen Cragg,John Bishop,"[Horror, Mystery]",3.9,83.0,Kirk Bovill,Circle of Eight
415,Maria Peters,Ricky Koole,"[Drama, Romance, War]",6.7,130.0,Sergio Hasselbaink,Sonny Boy
416,Jason Connery,Wes Chatham,"[Action, Drama, Sport]",5.6,90.0,Devon Sawa,The Philly Kid
417,Sidney J. Furie,Thomas Ian Griffith,"[Action, Comedy, Crime]",5.7,102.0,Tia Carrere,Hollow Point
418,Michael Schroeder,Christopher Plummer,"[Comedy, Drama]",7.2,107.0,Michael Angarano,Man in the Chair
419,Kari Skogland,Tanya Allen,"[Thriller, Drama]",5.8,92.0,Hart Bochner,Liberty Stands Still
420,David Mamet,Rebecca Pidgeon,"[Drama, Romance]",7.3,104.0,Jeremy Northam,The Winslow Boy
421,Tobe Hooper,Robert Englund,"[Comedy, Horror, Sci-Fi, Thriller]",3.8,106.0,Ted Levine,The Mangler
422,S. Shankar,Rajnikanth,"[Action, Adventure, Drama, Romance, Thriller]",7.2,188.0,Shriya Saran,Sivaji
423,Kamal Hassan,Kamal Hassan,"[Drama, History]",8.1,186.0,Shah Rukh Khan,Hey Ram
424,Nick Broomfield,Matthew Knoll,"[Drama, History, War]",7.0,97.0,Elliot Ruiz,Battle for Haditha
425,Terence Davies,Gillian Anderson,"[Romance, Drama]",7.1,135.0,Dan Aykroyd,The House of Mirth
426,Hideaki Anno,Masayuki,"[Animation, Action, Mystery, Sci-Fi]",7.6,101.0,Megumi Ogata,Neon Genesis Evangelion: Death &#x26; Rebirth
427,Justin Theroux,Billy Crudup,"[Comedy, Drama, Romance]",6.9,95.0,Mandy Moore,Dedication
428,Gregg Araki,James Duval,"[Comedy, Drama, Sci-Fi]",6.3,82.0,Rachel True,Nowhere
429,Steve Carr,Martin Lawrence,"[Comedy, Family, Sport]",5.1,103.0,Megan Mullally,Rebound
430,Dennis Lee,Ryan Reynolds,[Drama],6.6,120.0,Willem Dafoe,Fireflies in the Garden
431,Ralph Ziman,Rapulana Seiphemo,"[Action, Crime, Drama]",7.8,119.0,Jeffrey Zekele,Gangster&#x27;s Paradise: Jerusalema
432,Jon Avnet,Elijah Wood,[Drama],6.7,126.0,Kevin Costner,The War
433,Jon Knautz,Aaron Ashmore,[Horror],5.6,85.0,Cindy Sampson,The Shrine
434,Trey Parker,Trey Parker,"[Biography, Comedy, Musical, Thriller, Western]",7.3,95.0,Dian Bachar,Alferd Packer: The Musical
435,Peter Hyams,Jesse Metcalfe,"[Crime, Drama, Mystery, Thriller]",5.8,106.0,Amber Tamblyn,Beyond a Reasonable Doubt
436,William Kaufman,Cuba Gooding Jr.,"[Action, Thriller]",5.4,90.0,Cole Hauser,The Hit List
437,Simon Shore,Ben Silverstone,"[Comedy, Drama, Romance]",7.7,108.0,Brad Gorton,Get Real
438,Agustín Díaz Yanes,Viggo Mortensen,"[Adventure, Drama, History, Romance, Thriller, War]",6.1,145.0,Elena Anaya,Captain Alatriste: The Spanish Musketeer
439,Jennifer Chambers Lynch,Vincent D'Onofrio,"[Horror, Thriller]",6.4,94.0,Eamon Farren,Chained
440,George Ratliff,Sam Rockwell,"[Drama, Thriller]",5.9,106.0,Vera Farmiga,The Devil&#x27;s Child
441,Costa-Gavras,Ulrich Tukur,"[Crime, Drama, War]",7.3,132.0,Mathieu Kassovitz,Amen.
442,Lasse Hallström,Julia Roberts,"[Comedy, Drama, Romance]",5.6,106.0,Dennis Quaid,Something to Talk About
443,Isabel Coixet,Sarah Polley,"[Drama, Romance]",7.6,115.0,Tim Robbins,The Secret Life of Words
444,Sean Penn,Jack Nicholson,"[Drama, Romance]",6.4,111.0,David Morse,The Crossing Guard
445,Terence Davies,Rachel Weisz,"[Drama, Romance]",6.2,98.0,Tom Hiddleston,The Deep Blue Sea
446,Gilbert Adler,Dennis Miller,"[Horror, Comedy]",5.2,87.0,Erika Eleniak,Bordello of Blood
447,Richard Kwietniowski,Philip Seymour Hoffman,"[Crime, Thriller, Drama]",7.1,104.0,Minnie Driver,Owning Mahowny
448,Nanni Moretti,Michel Piccoli,"[Comedy, Drama]",6.7,102.0,Nanni Moretti,We Have a Pope
449,Paul Andrew Williams,Andy Serkis,"[Comedy, Crime, Horror, Thriller]",6.2,92.0,Reece Shearsmith,The Cottage
450,Penelope Spheeris,Marlon Wayans,"[Comedy, Romance]",5.9,93.0,David Spade,Senseless
451,Eric Red,Famke Janssen,"[Horror, Thriller]",5.6,96.0,Bobby Cannavale,100 Feet
452,Andrew Sipes,William Baldwin,"[Action, Comedy, Crime, Thriller]",4.1,91.0,Cindy Crawford,Fair Game
453,Marco Kreuzpaintner,Robert Stadlober,"[Comedy, Drama, Romance, Sport]",7.6,98.0,Kostja Ullmann,Summer Storm
454,Ulu Grosbard,Michelle Pfeiffer,[Drama],6.3,106.0,Treat Williams,The Deep End of the Ocean
455,Dennis Gansel,Max Riemelt,"[Drama, Sport, War]",7.5,117.0,Tom Schilling,Before the Fall
456,Abbas Alibhai Burmawalla,Mastan Alibhai Burmawalla,"[Action, Comedy, Musical]",7.0,175.0,Rakhee Gulzar,Baadshah
457,Phillip Noyce,Derek Luke,"[Biography, Drama, History]",6.8,101.0,Tim Robbins,Catch a Fire
458,Nigel Cole,Sally Hawkins,"[Biography, Comedy, Drama, History]",7.2,113.0,Bob Hoskins,Made in Dagenham
459,Aristomenis Tsirbas,Evan Rachel Wood,"[Animation, Action, Adventure, Sci-Fi, Thriller]",6.7,85.0,Luke Wilson,Battle for Terra
460,Juan José Campanella,Ricardo Darín,"[Comedy, Drama]",7.9,123.0,Héctor Alterio,Son of the Bride
461,Tim Fehlbaum,Hannah Herzsprung,"[Horror, Sci-Fi, Thriller]",5.9,89.0,Lars Eidinger,Hell
462,Tony Bill,Christian Slater,"[Comedy, Drama, Romance]",6.8,102.0,Marisa Tomei,Untamed Heart
463,Ömer Vargi,Sener Sen,"[Action, Crime, Drama]",7.9,140.0,Kenan Imirzalioglu,For Love and Honour
